国,クリック数,表示回数,CTR,掲載順位
日本,546,10067,5.42%,8.69
米国,13,6193,0.21%,6.46
韓国,2,81,2.47%,7.75
ドイツ,2,39,5.13%,8.9
タイ,2,29,6.9%,6.48
香港,2,26,7.69%,5.19
インドネシア,1,120,0.83%,6.5
イタリア,1,99,1.01%,10.98
フィリピン,1,48,2.08%,6.27
オーストラリア,1,26,3.85%,7.77
台湾,1,25,4%,8.52
カナダ,0,448,0%,6.02
ブラジル,0,373,0%,5.86
イギリス,0,277,0%,7.58
インド,0,155,0%,8.73
アルゼンチン,0,121,0%,5.99
フランス,0,97,0%,6.12
スペイン,0,70,0%,7.04
メキシコ,0,62,0%,6.23
コロンビア,0,58,0%,6.07
エクアドル,0,51,0%,7.02
ベトナム,0,50,0%,6.5
トルコ,0,46,0%,6.96
シンガポール,0,44,0%,11.77
マレーシア,0,34,0%,6.5
オランダ,0,34,0%,7.35
チリ,0,32,0%,6.69
中国,0,29,0%,9.62
ペルー,0,27,0%,5.19
バングラディッシュ,0,26,0%,5
ルーマニア,0,24,0%,5.79
ウクライナ,0,22,0%,5.23
ポルトガル,0,21,0%,8.24
ベルギー,0,18,0%,6.11
アルジェリア,0,17,0%,7.82
サウジアラビア,0,16,0%,11.38
ハンガリー,0,15,0%,5.33
ベネズエラ,0,15,0%,6.6
パキスタン,0,15,0%,7.87
ロシア,0,14,0%,11.86
アラブ首長国連邦,0,13,0%,4.15
ドミニカ,0,13,0%,4.85
パナマ,0,13,0%,5.62
スイス連邦,0,13,0%,7.85
トリニダード・トバゴ,0,12,0%,5.25
イラク,0,11,0%,5.73
イラン,0,11,0%,7
ノルウェー,0,11,0%,7.36
リトアニア,0,11,0%,12.18
ギリシャ,0,10,0%,4.4
モロッコ,0,10,0%,5.1
アイルランド,0,10,0%,5.5
セルビア,0,10,0%,7.8
ポーランド,0,10,0%,8.4
ホンジュラス,0,9,0%,4.22
パラグアイ,0,9,0%,5.67
パレスチナ,0,9,0%,5.78
チェキア,0,9,0%,8.56
デンマーク,0,9,0%,8.89
ブルガリア,0,8,0%,4.88
ジャマイカ,0,8,0%,5.75
スウェーデン,0,8,0%,6
グルジア,0,8,0%,7.25
プエルトリコ,0,7,0%,3.71
エチオピア,0,7,0%,4.29
フィンランド,0,7,0%,4.29
アルバニア,0,7,0%,4.43
コスタリカ,0,7,0%,6
チュニジア,0,7,0%,7
エジプト,0,7,0%,16.57
スリランカ,0,6,0%,4.33
ヨルダン,0,6,0%,6.67
ウズベキスタン,0,6,0%,6.67
ウルグアイ,0,6,0%,7
ラトビア,0,6,0%,10.33
ネパール,0,5,0%,4.6
ボスニア・ヘルツェゴビナ,0,5,0%,4.8
カンボジア,0,5,0%,5.6
グァテマラ,0,5,0%,5.8
モンゴル,0,4,0%,4.25
アルメニア,0,4,0%,4.5
ニュージーランド,0,4,0%,6
カザフスタン,0,4,0%,6.25
ベラルーシ,0,4,0%,6.5
クロアチア,0,4,0%,6.5
モルドバ,0,4,0%,7
エルサルバドル,0,4,0%,7
クウェート,0,4,0%,7.25
カタール,0,4,0%,7.5
南アフリカ,0,3,0%,4.33
アゼルバイジャン,0,3,0%,5
スロバキア,0,3,0%,6.33
ケニア,0,3,0%,7
コソボ,0,3,0%,7.67
不明な地域,0,3,0%,8
エストニア,0,3,0%,11.33
オーストリア,0,3,0%,15
オマーン,0,2,0%,2
ニカラグア,0,2,0%,2.5
バハマ,0,2,0%,3
モンテネグロ,0,2,0%,3.5
スリナム,0,2,0%,4
レバノン,0,2,0%,4.5
ルクセンブルグ,0,2,0%,5
イスラエル,0,2,0%,6
セネガル,0,2,0%,6
ガーナ,0,2,0%,9
マカオ,0,2,0%,9
マケドニア,0,2,0%,10
バミューダ,0,1,0%,1
セントビンセント・グレナディーン,0,1,0%,1
英領バージン諸島,0,1,0%,1
アンゴラ,0,1,0%,2
キプロス,0,1,0%,2
スロベニア,0,1,0%,2
バルバドス,0,1,0%,3
タンザニア,0,1,0%,3
アンドラ,0,1,0%,5
シリア,0,1,0%,5
コートジボワール,0,1,0%,6
ケイマン諸島,0,1,0%,6
ガイアナ,0,1,0%,6
セントクリストファー・ネイビス,0,1,0%,6
蘭領カリブ,0,1,0%,7
モルディブ,0,1,0%,7
ナイジェリア,0,1,0%,7
タークス・カイコス諸島,0,1,0%,8
ボリビア,0,1,0%,9
モナコ,0,1,0%,9
マルタ,0,1,0%,9
バーレーン,0,1,0%,10
