日付,クリック数,表示回数,CTR,掲載順位
2025-12-04,0,0,,
2025-12-05,2,3,66.67%,3.3
2025-12-06,3,4,75%,3.2
2025-12-07,0,1,0%,1
2025-12-08,1,2,50%,47.5
2025-12-09,0,0,,
2025-12-10,0,5,0%,6.6
2025-12-11,0,1,0%,78
2025-12-12,2,4,50%,27
2025-12-13,3,23,13.04%,10.6
2025-12-14,2,50,4%,8.9
2025-12-15,0,77,0%,8.2
2025-12-16,1,91,1.1%,10
2025-12-17,2,63,3.17%,8.5
2025-12-18,1,59,1.69%,9.7
2025-12-19,1,48,2.08%,10
2025-12-20,3,38,7.89%,14.3
2025-12-21,4,70,5.71%,7.7
2025-12-22,2,66,3.03%,7.8
2025-12-23,1,62,1.61%,11.4
2025-12-24,4,61,6.56%,9.9
2025-12-25,0,41,0%,9.5
2025-12-26,1,30,3.33%,7.4
2025-12-27,0,26,0%,7.7
2025-12-28,0,60,0%,8.6
2025-12-29,1,42,2.38%,10.3
2025-12-30,1,42,2.38%,9.3
2025-12-31,0,31,0%,8.4
2026-01-01,1,58,1.72%,9.5
2026-01-02,3,110,2.73%,8
2026-01-03,5,94,5.32%,7.8
2026-01-04,6,298,2.01%,7.2
2026-01-05,9,327,2.75%,9.2
2026-01-06,6,356,1.69%,6.8
2026-01-07,13,434,3%,7.3
2026-01-08,20,471,4.25%,8
2026-01-09,3,264,1.14%,7.2
2026-01-10,3,192,1.56%,8
2026-01-11,6,271,2.21%,8.1
2026-01-12,5,363,1.38%,6.8
2026-01-13,10,355,2.82%,7.8
2026-01-14,10,396,2.53%,7.8
2026-01-15,19,304,6.25%,8.9
2026-01-16,8,256,3.12%,8.6
2026-01-17,1,171,0.58%,8.4
2026-01-18,8,289,2.77%,8.7
2026-01-19,9,279,3.23%,8.2
2026-01-20,5,234,2.14%,8.7
2026-01-21,5,225,2.22%,7.7
2026-01-22,8,214,3.74%,7.1
2026-01-23,1,132,0.76%,8.7
2026-01-24,3,117,2.56%,10.2
2026-01-25,9,273,3.3%,8.6
2026-01-26,6,281,2.14%,8.9
2026-01-27,9,259,3.47%,8.4
2026-01-28,13,287,4.53%,8.9
2026-01-29,8,280,2.86%,6.3
2026-01-30,8,177,4.52%,8
2026-01-31,5,149,3.36%,7.7
2026-02-01,6,266,2.26%,8.1
2026-02-02,11,250,4.4%,10
2026-02-03,6,252,2.38%,8
2026-02-04,7,253,2.77%,8.5
2026-02-05,9,241,3.73%,9.2
2026-02-06,1,135,0.74%,8.8
2026-02-07,4,122,3.28%,7.3
2026-02-08,15,185,8.11%,7.7
2026-02-09,13,164,7.93%,9.9
2026-02-10,10,130,7.69%,8
2026-02-11,8,172,4.65%,10.1
2026-02-12,7,226,3.1%,9.1
2026-02-13,8,166,4.82%,7.2
2026-02-14,5,119,4.2%,9.2
2026-02-15,21,262,8.02%,7.5
2026-02-16,27,357,7.56%,6.9
2026-02-17,17,378,4.5%,7.8
2026-02-18,9,398,2.26%,6.4
2026-02-19,12,310,3.87%,6.7
2026-02-20,4,209,1.91%,6
2026-02-21,4,336,1.19%,6.5
2026-02-22,5,274,1.82%,6.5
2026-02-23,8,558,1.43%,7
2026-02-24,14,537,2.61%,7.1
2026-02-25,15,490,3.06%,6.4
2026-02-26,17,521,3.26%,8.1
2026-02-27,2,322,0.62%,7.1
2026-02-28,7,257,2.72%,5.8
2026-03-01,9,601,1.5%,7.4
2026-03-02,10,793,1.26%,6.1
2026-03-03,21,1208,1.74%,6.4
